City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Sioux Lookout,CA,2021-01-11 00:31:42,50.1001,-91.917,24.8,93,90,12.66,light snow
237,Luderitz,NA,2021-01-11 00:31:42,-26.6481,15.1594,66.58,69,5,23.58,clear sky
238,Sulzbach-Rosenberg,DE,2021-01-11 00:28:14,49.4983,11.7517,21.99,92,40,0.67,mist
239,Kothapet,IN,2021-01-11 00:31:42,19.3333,79.4833,67.15,55,0,1.52,clear sky
240,Huarmey,PE,2021-01-11 00:31:42,-10.0681,-78.1522,70.3,83,67,9.57,broken clouds
241,Shaunavon,CA,2021-01-11 00:31:43,49.6501,-108.4181,19.4,93,100,6.91,overcast clouds
242,Mana,GF,2021-01-11 00:31:43,5.6592,-53.7767,77.65,85,81,11.68,broken clouds
243,Butler,US,2021-01-11 00:31:43,39.4501,-84.5666,32.0,80,1,3.0,clear sky
244,Torbay,CA,2021-01-11 00:31:43,47.6666,-52.7314,33.01,100,90,26.46,light snow
245,Suntar,RU,2021-01-11 00:31:44,62.1444,117.6319,-35.61,82,100,0.94,overcast clouds
246,Asosa,ET,2021-01-11 00:31:44,10.0667,34.5333,61.23,45,0,4.27,clear sky
247,Tchollire,CM,2021-01-11 00:31:44,8.4022,14.1698,68.45,24,90,2.06,overcast clouds
248,Morristown,US,2021-01-11 00:30:22,36.214,-83.2949,33.8,75,1,1.07,clear sky
249,Lavrentiya,RU,2021-01-11 00:31:44,65.5833,-171.0,-14.33,83,100,12.41,overcast clouds
250,Kabalo,CD,2021-01-11 00:31:46,-6.05,26.9167,68.13,94,100,0.94,overcast clouds
251,Muyezerskiy,RU,2021-01-11 00:31:46,63.9333,31.65,-3.15,91,100,5.53,overcast clouds
252,Srisailam,IN,2021-01-11 00:31:46,16.0833,78.8667,66.92,72,93,2.71,overcast clouds
253,Namibe,AO,2021-01-11 00:31:46,-15.1961,12.1522,69.84,72,11,5.48,few clouds
254,Geraldton,AU,2021-01-11 00:31:47,-28.7667,114.6,75.2,53,0,17.27,clear sky
255,Nushki,PK,2021-01-11 00:31:47,29.5542,66.0215,32.36,75,0,0.47,clear sky
256,Provideniya,RU,2021-01-11 00:31:47,64.3833,-173.3,-4.0,71,0,4.47,clear sky
257,Kande,TG,2021-01-11 00:31:47,9.9578,1.0447,75.2,43,0,2.3,clear sky
258,Bayanday,RU,2021-01-11 00:31:47,53.0661,105.5139,6.49,90,100,2.1,overcast clouds
